business_id,business_name,business_time
042E0102,旅客查询页签检索按钮,2024-04-01 04:51:08.291
040O0200,值机页面加载,2024-04-01 04:51:09.724
040O0211,点击座位图刷新,2024-04-01 04:51:10.216
040O0285,国际证件校验按钮,2024-04-01 04:51:11.417
042F0817,管理CKIN按钮,2024-04-01 04:51:18.127
042F0801,国际证件-更新按钮,2024-04-01 04:51:19.556
042F0801,国际证件-更新按钮,2024-04-01 04:52:41.079
040O0200,值机页面加载,2024-04-01 04:52:48.322
040O0212,切换到联程段座位输入框后自动展示联程段座位图,2024-04-01 04:52:51.901
040O0204,旅客处理按钮,2024-04-01 04:52:54.169
040O0211,点击座位图刷新,2024-04-01 04:52:54.515
040O0285,国际证件校验按钮,2024-04-01 04:52:56.707
042F0801,国际证件-更新按钮,2024-04-01 04:54:07.140
042F0801,国际证件-更新按钮,2024-04-01 04:54:23.206
042F0801,国际证件-更新按钮,2024-04-01 04:54:34.871
042F0801,国际证件-更新按钮,2024-04-01 04:54:50.035
042F0801,国际证件-更新按钮,2024-04-01 04:55:00.802
042F0815,证件校验-切换旅客护照信息已修改，是否提交确定按钮,2024-04-01 04:55:14.808
042E0121,从其他页面返回检索页刷新,2024-04-01 04:55:24.700
042E0117,旅客检索清空按钮,2024-04-01 04:55:25.336
042E0117,旅客检索清空按钮,2024-04-01 04:55:25.669
042E0115,旅客提取页签检索按钮,2024-04-01 04:55:30.645
042E0102,旅客查询页签检索按钮,2024-04-01 04:55:37.174
042E0102,旅客查询页签检索按钮,2024-04-01 04:55:42.927
042E0171,国际证件校验按钮,2024-04-01 04:55:45.047
042F0801,国际证件-更新按钮,2024-04-01 04:55:48.552
042E0121,从其他页面返回检索页刷新,2024-04-01 04:56:15.161
042E0117,旅客检索清空按钮,2024-04-01 04:56:15.715
042E0115,旅客提取页签检索按钮,2024-04-01 04:56:19.379
040O0200,值机页面加载,2024-04-01 04:56:21.077
040O0211,点击座位图刷新,2024-04-01 04:56:21.650
040O0204,旅客处理按钮,2024-04-01 04:56:30.299
