business_class,class_name,business_id
01,登录,01010102
01,登录,01010108
01,登录,01010900
02,检索提取,042E0100
02,检索提取,042E0102
02,检索提取,042E0115
02,检索提取,042E0113
02,检索提取,042E0133
02,检索提取,042E0112
02,检索提取,042E0118
02,检索提取,042E0188
02,检索提取,042E0189
02,检索提取,042E0190
02,检索提取,042E0211
02,检索提取,042E0212
02,检索提取,042E0201
02,检索提取,042E0202
02,检索提取,042E0213
02,检索提取,042E0214
02,检索提取,042E0215
02,检索提取,042E0216
02,检索提取,042E0217
02,检索提取,042E0218
02,检索提取,042E0219
02,检索提取,042E0227
02,检索提取,042E0234
02,检索提取,042E0235
02,检索提取,042E0200
03,下一步值机,042E0134
03,下一步值机,042E0233
04,值机接收,040O0200
04,值机接收,040O0204
04,值机接收,040O020A
04,值机接收,040O020B
04,值机接收,040O020C
04,值机接收,040O020D
04,值机接收,040O020E
04,值机接收,040O020F
04,值机接收,040O020H
04,值机接收,040O0240
04,值机接收,040O0207
04,值机接收,040O0212
04,值机接收,040O0201
04,值机接收,040O0202
04,值机接收,040O0225
04,值机接收,040O0262
04,值机接收,040O0264
04,值机接收,040O0210
04,值机接收,040O0211
04,值机接收,040O0216
04,值机接收,040O0214
05,结束,042E0117
05,结束,040O0237
05,结束,042E0223
05,结束,042E0224
05,结束,01010915
05,结束,01010916
05,结束,01010917
05,结束,01010903
05,结束,01010600
05,结束,nav
05,结束,01010914
06,旅客处理信息修改页签,040O0253
06,旅客处理信息修改页签,040O0254
06,旅客处理信息修改页签,040O0255
06,旅客处理信息修改页签,040O0256
07,EDI联程值机,042E0182
07,EDI联程值机,040O0213
08,拉下为候补,044L0207
08,拉下为候补,044L0307
09,重打牌,042E0146
09,重打牌,042E0147
09,重打牌,040O0238
09,重打牌,040O0239
10,旅客详情,042E0106
10,旅客详情,040O0270
10,旅客详情,042F0818
10,旅客详情,042E0308
10,旅客详情,042E0320
10,旅客详情,042E0400
10,旅客详情,042E0401
10,旅客详情,042E0402
10,旅客详情,042E0403
10,旅客详情,042E0404
10,旅客详情,042E0405
10,旅客详情,042E0406
10,旅客详情,044L0101
10,旅客详情,044L0102
10,旅客详情,043L0101
10,旅客详情,043L0102
11,管理常客,042E0135
11,管理常客,040O0276
11,管理常客,042E0159
11,管理常客,040O0243
11,管理常客,042F0101
11,管理常客,042F0102
11,管理常客,042F0103
12,管理旅客备注,042E0137
12,管理旅客备注,040O0278
12,管理旅客备注,042F0405
12,管理旅客备注,042E0196
12,管理旅客备注,040O020G
12,管理旅客备注,042F0817
12,管理旅客备注,040R0303
12,管理旅客备注,040P0708
12,管理旅客备注,042F0202
12,管理旅客备注,042F0203
12,管理旅客备注,044L0401
12,管理旅客备注,043L0401
13,管理MSG,042E0136
13,管理MSG,040O0277
13,管理MSG,042F1101
14,管理婴儿,042E0139
14,管理婴儿,042E0140
14,管理婴儿,040O0235
14,管理婴儿,040O0217
14,管理婴儿,040O0701
14,管理婴儿,040O0702
14,管理婴儿,040O0703
14,管理婴儿,040O0705
15,客票详情,042E0141
15,客票详情,040O0280
15,客票详情,040O0704
15,客票详情,042G0203
15,客票详情,040O1505
15,客票详情,042G0103
15,客票详情,042G0101
15,客票详情,042G0102
15,客票详情,042G0104
16,行李交运,042E0145
16,行李交运,040O0288
16,行李交运,040O0252
16,行李交运,040R0100
16,行李交运,040R0103
16,行李交运,040R0104
16,行李交运,040R0105
16,行李交运,040R0106
16,行李交运,040R0107
16,行李交运,040R0108
16,行李交运,040R0109
16,行李交运,040R0110
16,行李交运,040R0111
16,行李交运,040R0112
16,行李交运,040R0113
16,行李交运,040R0114
17,座位处理,042E0142
17,座位处理,040O0281
17,座位处理,040V0201
17,座位处理,040V0202
17,座位处理,040V0203
17,座位处理,040V0204
17,座位处理,040V0205
17,座位处理,040V0206
17,座位处理,040V0207
17,座位处理,040V0210
18,修改性别/类型,042E0163
18,修改性别/类型,042E0164
18,修改性别/类型,040O0291
18,修改性别/类型,040O0292
18,修改性别/类型,042E0318
18,修改性别/类型,042F0502
18,修改性别/类型,042F0503
19,证件校验页签操作,040O0257
19,证件校验页签操作,040O0258
19,证件校验页签操作,040O0260
19,证件校验页签操作,040O0261
19,证件校验页签操作,040O0265
19,证件校验页签操作,040O0266
19,证件校验页签操作,040O0267
19,证件校验页签操作,040O0268
19,证件校验页签操作,040O0269
19,证件校验页签操作,040O0205
19,证件校验页签操作,040O0271
19,证件校验页签操作,040O0272
19,证件校验页签操作,040O0273
19,证件校验页签操作,040O0274
19,证件校验页签操作,040O0275
19,证件校验页签操作,040O0259
19,证件校验页签操作,040O0297
20,签转,042E0165
20,签转,040O0228
20,签转,040U0102
20,签转,040U0101
20,签转,040U0103
20,签转,040U0104
21,管理ASVC,042E0169
